Timestamp,Detected_Object,Severity,Confidence,BBox_X1,BBox_Y1,BBox_X2,BBox_Y2,Source
2026-02-22 18:03:51.583902,smoke,Medium,0.807,123,15,463,695,Video
2026-02-22 18:03:51.589360,fire,Low,0.563,312,631,408,700,Video
2026-02-22 18:03:52.017452,smoke,Low,0.784,127,15,462,671,Video
2026-02-22 18:03:52.432836,smoke,Medium,0.824,122,14,462,714,Video
2026-02-22 18:03:52.438421,fire,Low,0.542,318,644,422,709,Video
2026-02-22 18:03:52.852215,smoke,Medium,0.82,112,14,462,712,Video
2026-02-22 18:03:52.857303,fire,Low,0.533,317,641,421,712,Video
2026-02-22 18:03:53.267838,smoke,Medium,0.865,40,15,456,619,Video
2026-02-22 18:03:53.673805,smoke,Medium,0.822,49,14,456,612,Video
2026-02-22 18:03:54.730824,smoke,Medium,0.846,40,14,456,621,Video
2026-02-22 18:03:55.183795,smoke,Medium,0.831,55,13,456,620,Video
2026-02-22 18:03:55.189247,fire,Low,0.51,120,408,176,507,Video
2026-02-22 18:03:55.637483,smoke,Medium,0.803,43,13,457,617,Video
2026-02-22 18:03:56.052890,smoke,Low,0.797,56,12,457,626,Video
2026-02-22 18:03:56.477157,smoke,Medium,0.802,123,18,457,683,Video
2026-02-22 18:03:56.926246,smoke,Medium,0.854,124,16,458,730,Video
2026-02-22 18:03:57.334718,smoke,Low,0.767,123,17,456,716,Video
2026-02-22 18:03:57.340311,fire,Low,0.716,317,654,389,729,Video
2026-02-22 18:03:57.747393,smoke,Medium,0.843,119,17,459,631,Video
2026-02-22 18:03:58.155201,smoke,Low,0.763,117,22,456,706,Video
2026-02-22 18:03:58.567571,smoke,Medium,0.812,114,18,459,643,Video
2026-02-22 18:03:58.957399,smoke,Low,0.779,120,16,457,641,Video
2026-02-22 18:03:58.963187,fire,Low,0.576,119,424,174,516,Video
2026-02-22 18:03:59.365669,smoke,Medium,0.853,117,15,457,652,Video
2026-02-22 18:03:59.770793,smoke,Medium,0.862,115,16,458,654,Video
2026-02-22 18:04:00.205799,smoke,Medium,0.854,114,17,458,677,Video
2026-02-22 18:04:00.620080,smoke,Medium,0.838,120,15,458,651,Video
2026-02-22 18:04:01.026553,smoke,Medium,0.847,110,13,455,652,Video
2026-02-22 18:04:01.427474,smoke,Medium,0.848,112,17,457,676,Video
2026-02-22 18:04:01.827186,smoke,Medium,0.826,107,14,455,658,Video
2026-02-22 18:04:02.225478,smoke,Medium,0.841,102,12,456,657,Video
2026-02-22 18:04:02.651525,smoke,Medium,0.825,95,14,455,643,Video
2026-02-22 18:04:02.657691,fire,Low,0.608,109,407,170,521,Video
2026-02-22 18:04:03.062620,smoke,Medium,0.836,97,12,455,645,Video
2026-02-22 18:04:03.465380,smoke,Medium,0.849,86,15,456,646,Video
2026-02-22 18:04:03.927606,smoke,Medium,0.838,97,14,457,574,Video
2026-02-22 18:04:04.687729,smoke,Medium,0.842,85,14,458,570,Video
2026-02-22 18:04:05.111965,smoke,Medium,0.802,76,14,456,629,Video
2026-02-22 18:04:05.526150,smoke,Low,0.776,78,13,457,661,Video
2026-02-22 18:04:05.952371,smoke,Low,0.786,72,12,456,560,Video
2026-02-22 18:04:06.380281,smoke,Medium,0.828,73,10,457,598,Video
2026-02-22 18:04:06.385717,fire,Low,0.505,320,642,386,708,Video
2026-02-22 18:04:06.817528,smoke,Medium,0.831,70,12,457,677,Video
2026-02-22 18:04:07.270281,smoke,Medium,0.824,69,12,456,692,Video
2026-02-22 18:04:07.697446,smoke,Medium,0.873,57,10,456,588,Video
2026-02-22 18:04:08.117544,smoke,Medium,0.809,65,13,456,699,Video
2026-02-22 18:04:08.539473,smoke,Medium,0.86,56,10,457,585,Video
2026-02-22 18:04:08.544044,smoke,Low,0.557,345,601,461,696,Video
2026-02-22 18:04:08.964804,smoke,Medium,0.873,52,11,457,584,Video
2026-02-22 18:04:09.377969,smoke,Medium,0.856,42,11,456,590,Video
2026-02-22 18:04:09.789365,smoke,Medium,0.834,44,11,456,593,Video
2026-02-22 18:04:10.220235,smoke,Medium,0.814,55,10,458,590,Video
2026-02-22 18:04:10.645575,smoke,Medium,0.836,59,18,457,687,Video
2026-02-22 18:04:10.650214,fire,Low,0.758,331,623,410,693,Video
2026-02-22 18:04:11.079467,smoke,Medium,0.865,46,11,458,498,Video
2026-02-22 18:04:11.085148,smoke,Low,0.624,314,522,457,695,Video
2026-02-22 18:04:11.090039,fire,Low,0.555,333,619,427,702,Video
2026-02-22 18:04:11.513702,smoke,Medium,0.842,50,13,458,545,Video
2026-02-22 18:04:11.518908,fire,Low,0.683,336,618,416,687,Video
2026-02-22 18:04:11.524532,fire,Low,0.542,117,426,182,498,Video
2026-02-22 18:04:11.961708,smoke,Medium,0.816,39,15,459,501,Video
2026-02-22 18:04:11.965923,fire,Low,0.709,339,615,438,704,Video
2026-02-22 18:04:11.976638,smoke,Low,0.683,321,520,455,703,Video
2026-02-22 18:04:11.983860,fire,Low,0.542,116,422,187,497,Video
2026-02-22 18:04:12.403545,smoke,Medium,0.833,40,14,458,501,Video
2026-02-22 18:04:12.410457,fire,Low,0.681,341,613,442,705,Video
